variable,pisa_topk,mlftau_topk,pisa_contexts,mlftau_contexts,pisa_best_rank,mlftau_best_rank,pisa_max_imp,mlftau_max_imp,pisa_peak_slice,mlftau_peak_slice,sensitivity_type
sc_policy_digital_devices_math_instruction,TRUE,FALSE,InSchool,,4,NA,0.384537722,NA,PISA_Contextual_InSchool | InSchool | Construct | context | context_exposure_to_mathematics_content | READ,NA,PISA-only (top-k)
sc_record_test_graduation_rates,TRUE,FALSE,InSchool,,1,NA,1,NA,PISA_Contextual_InSchool | InSchool | Construct | process | teacher_and_school_evaluations | MATH,NA,PISA-only (top-k)
sc_special_learning_needs,TRUE,FALSE,InSchool,,2,NA,0.799379607,NA,PISA_Contextual_InSchool | InSchool | Construct | context | context_health_and_well_being | MATH,NA,PISA-only (top-k)
sc_student_grouped_within_classes,TRUE,FALSE,InSchool,,8,NA,0.183988154,NA,PISA_Contextual_InSchool | InSchool | Construct | process | context_organisation_of_student_learning_at_school | READ,NA,PISA-only (top-k)
sc_study_help_staff,TRUE,FALSE,InSchool,,3,NA,0.513232511,NA,PISA_Contextual_InSchool | InSchool | Construct | process | context_teacher_qualification_training_and_professional_development | MATH,NA,PISA-only (top-k)
sc_teacher_monitor_external_observe,TRUE,FALSE,InSchool,,2,NA,0.938006862,NA,PISA_Contextual_InSchool | InSchool | Construct | input | context_assessment_evaluation_and_accountability | MATH,NA,PISA-only (top-k)
sc_teacher_monitor_peer_review,TRUE,FALSE,InSchool,,1,NA,1,NA,PISA_Contextual_InSchool | InSchool | Construct | input | context_assessment_evaluation_and_accountability | MATH,NA,PISA-only (top-k)
sc_teacher_monitor_tests,TRUE,FALSE,InSchool,,1,NA,1,NA,PISA_Contextual_InSchool | InSchool | Construct | input | ict_based_assessments | MATH,NA,PISA-only (top-k)
sc_teachers_initiative_progress,TRUE,FALSE,InSchool,,4,NA,0.375833104,NA,PISA_Contextual_InSchool | InSchool | Construct | process | context_assessment_evaluation_and_accountability | MATH,NA,PISA-only (top-k)
scdv_digital_learning_preparedness,TRUE,FALSE,InSchool,,4,NA,0.238516696,NA,PISA_Contextual_InSchool | InSchool | Construct | input | context_organisation_of_student_learning_at_school | MATH,NA,PISA-only (top-k)
scdv_educational_leadership,TRUE,FALSE,InSchool,,6,NA,0.649764431,NA,PISA_Contextual_InSchool | InSchool | Construct | process | context_school_culture_and_climate | MATH,NA,PISA-only (top-k)
scdv_instructional_leadership,TRUE,FALSE,InSchool,,4,NA,0.749155295,NA,PISA_Contextual_InSchool | InSchool | Construct | process | context_organisation_of_student_learning_at_school | MATH,NA,PISA-only (top-k)
scdv_math_ability_grouping,TRUE,FALSE,InSchool,,3,NA,0.420450947,NA,PISA_Contextual_InSchool | InSchool | Construct | context | context_exposure_to_mathematics_content | MATH,NA,PISA-only (top-k)
scdv_proportion_fully_cert_teachers,TRUE,FALSE,InSchool,,4,NA,0.462880841,NA,PISA_Contextual_InSchool | InSchool | Construct | input | context_teacher_qualification_training_and_professional_development | SCIE,NA,PISA-only (top-k)
scdv_proportion_pedagogical_support,TRUE,FALSE,InSchool,,4,NA,0.238096233,NA,PISA_Contextual_InSchool | InSchool | Construct | input | context_organisation_of_student_learning_at_school | SCIE,NA,PISA-only (top-k)
scdv_school_autonomy,TRUE,FALSE,InSchool,,3,NA,0.37546083,NA,PISA_Contextual_InSchool | InSchool | Construct | context | context_school_autonomy | MATH,NA,PISA-only (top-k)
scdv_standardized_tests_usage,TRUE,FALSE,InSchool,,5,NA,0.338221102,NA,PISA_Contextual_InSchool | InSchool | Construct | process | context_assessment_evaluation_and_accountability | MATH,NA,PISA-only (top-k)
scdv_teacher_developed_tests,TRUE,FALSE,InSchool,,6,NA,0.258804088,NA,PISA_Contextual_InSchool | InSchool | Construct | process | context_assessment_evaluation_and_accountability | MATH,NA,PISA-only (top-k)
scdv_teacher_participation,TRUE,FALSE,InSchool,,2,NA,0.773045155,NA,PISA_Contextual_InSchool | InSchool | Construct | context | context_school_autonomy | MATH,NA,PISA-only (top-k)
st_reason_school_missed_bored,TRUE,FALSE,InSchool,,1,NA,1,NA,PISA_Contextual_InSchool | InSchool | Construct | context | context_general_social_and_emotional_characteristics | MATH,NA,PISA-only (top-k)
st_reason_school_missed_family_care,TRUE,FALSE,OutOfSchool,,2,NA,0.418430536,NA,PISA_Contextual_OutOfSchool | OutOfSchool | Construct | context | context_health_and_well_being | READ,NA,PISA-only (top-k)
st_reason_school_missed_fees,TRUE,FALSE,OutOfSchool,,1,NA,1,NA,PISA_Contextual_OutOfSchool | OutOfSchool | Construct | process | context_economic_social_and_cultural_status | MATH,NA,PISA-only (top-k)
