variable,n_topk_slices,frameworks,contexts,granularities,max_importance,best_rank_any
sc_disadvantaged_homes,12,Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,Construct; Domain; None,0.472808731,6
sc_inhouse_workshops_math_teacher_groups,11,PISA_Contextual_InSchool,InSchool,Construct; Domain,1,1
scdv_proportion_master_teachers,11,Global_AllPredictors; Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,All; InSchool,Construct; Domain; None,1,1
stdv_student_teacher_relation,11,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,Construct; Domain,0.966256259,2
scdv_school_size,11,Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,Construct; Domain; None,0.806425247,2
st_more_trusting_than_others,11,MLFTAU_Contextual_InSchool; MLFTAU_Contextual_OutOfSchool; PISA_Contextual_InSchool; PISA_Contextual_OutOfSchool,InSchool; OutOfSchool,Construct,0.227326637,8
st_device_near_home,10,MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,OutOfSchool,Construct; Domain,1,1
st_rate_quality_math_instruction,10,Global_InSchool; MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,Construct; Domain; None,1,1
st_informed_paths_after_school,10,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,Construct,0.832446924,2
ic_math_resource_simple_calculations,9,MLFTAU_Contextual_OutOfSchool; PISA_Contextual_InSchool; PISA_Contextual_OutOfSchool,InSchool; OutOfSchool,Construct,1,1
sc_parents_assist_fundraising,9,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,Construct,1,1
icdv_ict_distress_online,9,MLFTAU_Contextual_OutOfSchool; PISA_Contextual_OutOfSchool,OutOfSchool,Construct; Domain,0.989994814,2
stdv_cognitive_activation_math_thinking,9,MLFTAU_Contextual_InSchool; PISA_Contextual_InSchool,InSchool,Construct,0.960889548,2
