framework_group,variable,topk_in_school,topk_out_school,best_rank_in_school,best_rank_out_school,max_imp_in_school,max_imp_out_school,peak_slice_in_school,peak_slice_out_school,shift_type
MLFTAU,scdv_proportion_master_teachers,TRUE,FALSE,9,NA,0.095909627,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | organisation_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,scdv_proportion_math_teachers,TRUE,FALSE,8,NA,0.099302904,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | organisation_attributes | MATH,NA,InSchool-only (top-k)
MLFTAU,scdv_school_size,TRUE,FALSE,7,NA,0.119791813,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | organisation_attributes | READ,NA,InSchool-only (top-k)
MLFTAU,scdv_staff_shortage,TRUE,FALSE,12,NA,0.255994204,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | facilitating_conditions | MATH,NA,InSchool-only (top-k)
MLFTAU,scdv_student_school_climate_factors,TRUE,FALSE,3,NA,0.415116756,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | social_influence | MATH,NA,InSchool-only (top-k)
MLFTAU,scdv_student_teacher_ratio,TRUE,FALSE,12,NA,0.068641034,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | organisation_attributes | SCIE,NA,InSchool-only (top-k)
MLFTAU,scdv_teacher_feedback,TRUE,FALSE,7,NA,0.287900166,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | social_influence | MATH,NA,InSchool-only (top-k)
MLFTAU,scdv_teacher_school_climate_factors,TRUE,FALSE,6,NA,0.300585943,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | social_influence | MATH,NA,InSchool-only (top-k)
MLFTAU,scdv_test_language_class_size,TRUE,FALSE,4,NA,0.255862521,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | task_attributes | READ,NA,InSchool-only (top-k)
MLFTAU,scdv_total_math_teachers,TRUE,FALSE,3,NA,0.47855899,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | organisation_attributes | SCIE,NA,InSchool-only (top-k)
MLFTAU,scdv_total_non_teaching_staff,TRUE,FALSE,13,NA,0.063401171,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | organisation_attributes | READ,NA,InSchool-only (top-k)
MLFTAU,scdv_total_teachers,TRUE,FALSE,4,NA,0.426191529,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | organisation_attributes | READ,NA,InSchool-only (top-k)
MLFTAU,st_device_open_class,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | group_class | events_time | MATH,NA,InSchool-only (top-k)
MLFTAU,st_digital_learning_school_hours,TRUE,FALSE,1,NA,1,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | individual | events_time | MATH,NA,InSchool-only (top-k)
MLFTAU,st_digital_leisure_school_hours,TRUE,FALSE,2,NA,0.88581553,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | individual | events_time | SCIE,NA,InSchool-only (top-k)
MLFTAU,st_informed_paths_after_school,TRUE,FALSE,2,NA,0.832446924,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | individual | performance_expectancy | SCIE,NA,InSchool-only (top-k)
MLFTAU,st_math_class_periods_per_week,TRUE,FALSE,2,NA,0.528889878,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | organisation_school | events_time | MATH,NA,InSchool-only (top-k)
MLFTAU,st_math_skill_hard_to_improve,TRUE,FALSE,2,NA,0.955796717,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | individual | performance_expectancy | READ,NA,InSchool-only (top-k)
MLFTAU,st_notifications_off_class,TRUE,FALSE,2,NA,0.912599197,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | individual | habit | READ,NA,InSchool-only (top-k)
MLFTAU,st_pressure_online_class,TRUE,FALSE,3,NA,0.213711109,NA,MLFTAU_Contextual_InSchool | InSchool | Construct | group_class | social_influence | SCIE,NA,InSchool-only (top-k)
